Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,SecondsAfterSunRise,SecondsAfterSunSet
1.85,50,30.41,102,159.86,7.87,-3715,-48775
1.71,50,30.41,102,127.27,10.12,-3411,-48471
1.76,50,30.41,102,172.87,9.0,-3114,-48174
1.73,49,30.41,102,143.95,11.25,-2815,-47875
1.71,49,30.41,102,164.16,9.0,-2516,-47576
1.71,49,30.41,101,152.03,11.25,-2213,-47273
2.02,48,30.41,92,118.18,3.37,-1615,-46675
1.87,48,30.42,86,120.92,9.0,-1315,-46375
1.72,48,30.41,80,131.69,10.12,-1008,-46068
4.43,49,30.41,76,169.53,6.75,-413,-45473
8.3,48,30.41,76,156.43,10.12,-113,-45173
9.09,48,30.41,72,130.7,4.5,190,-44870
11.28,49,30.41,73,157.94,6.75,486,-44574
13.64,49,30.41,73,150.24,13.5,790,-44270
18.71,49,30.41,71,164.95,4.5,1087,-43973
27.94,50,30.42,76,92.89,7.87,1689,-43371
43.99,49,30.42,82,161.38,11.25,1988,-43072
53.19,49,30.42,90,92.24,5.62,2288,-42772
43.18,49,30.42,90,106.62,11.25,2588,-42472
51.8,49,30.42,78,151.26,12.37,3186,-41874
63.75,50,30.42,76,112.56,6.75,3486,-41574
62.49,50,30.42,78,158.97,13.5,3789,-41271
87.65,50,30.43,78,153.19,9.0,4085,-40975
92.24,50,30.43,81,104.53,3.37,4385,-40675
155.07,50,30.43,92,97.22,2.25,5285,-39775
242.53,51,30.44,94,57.78,6.75,5585,-39475
146.12,51,30.44,95,21.02,2.25,6187,-38873
183.46,51,30.44,96,123.96,5.62,6485,-38575
406.11,51,30.45,99,141.67,4.5,7384,-37676
449.0,52,30.45,93,119.67,13.5,7686,-37374
555.78,53,30.45,82,107.81,12.37,7987,-37073
587.37,53,30.45,78,204.79,3.37,8284,-36776
386.25,54,30.45,74,34.72,4.5,8585,-36475
633.24,53,30.45,72,133.06,10.12,8886,-36174
234.56,54,30.45,73,27.41,7.87,9189,-35871
462.71,53,30.45,75,170.1,3.37,9788,-35272
786.81,54,30.46,69,105.07,9.0,10391,-34669
708.67,55,30.46,69,76.68,5.62,10688,-34372
398.94,54,30.46,81,48.17,3.37,10987,-34073
793.15,54,30.46,78,181.52,12.37,11285,-33775
838.66,54,30.46,85,93.05,9.0,11588,-33472
724.35,55,30.46,72,151.48,3.37,11889,-33171
831.38,56,30.46,71,125.63,6.75,12187,-32873
725.35,56,30.46,69,44.53,5.62,12491,-32569
794.6,56,30.46,71,130.75,12.37,12788,-32272
899.06,57,30.47,76,109.5,7.87,13687,-31373
928.27,57,30.47,77,37.85,4.5,13987,-31073
999.94,57,30.47,76,80.8,9.0,14289,-30771
916.47,57,30.47,76,71.14,4.5,14586,-30474
986.69,58,30.47,73,140.16,13.5,14885,-30175
486.31,58,30.47,70,177.82,7.87,15188,-29872
1073.71,58,30.47,74,335.52,5.62,16088,-28972
1027.63,58,30.47,74,166.72,4.5,16389,-28671
1006.1,58,30.47,73,72.66,7.87,16684,-28376
1012.53,59,30.47,78,134.81,5.62,16983,-28077
1008.46,59,30.47,74,85.75,6.75,17286,-27774
1013.32,59,30.47,71,46.61,16.87,17586,-27474
1009.88,58,30.47,77,68.09,7.87,18186,-26874
978.36,58,30.46,76,89.95,11.25,18787,-26273
952.03,58,30.46,77,46.19,14.62,19088,-25972
974.1,59,30.46,73,110.8,7.87,19385,-25675
1005.43,59,30.46,76,37.34,10.12,19689,-25371
1000.96,59,30.46,71,31.44,11.25,19989,-25071
1063.06,60,30.46,71,38.77,3.37,20585,-24475
1061.27,60,30.46,72,89.07,7.87,20888,-24172
1065.3,60,30.46,73,28.35,5.62,21190,-23870
1070.12,60,30.46,69,62.41,5.62,21485,-23575
1067.15,60,30.46,71,105.16,6.75,22089,-22971
1072.24,60,30.45,68,38.74,11.25,22385,-22675
1072.94,60,30.45,68,8.97,5.62,22987,-22073
1073.43,60,30.45,60,63.24,11.25,23585,-21475
1069.16,61,30.45,62,65.54,4.5,23886,-21174
1059.15,61,30.45,64,101.98,10.12,24789,-20271
1051.8,61,30.45,68,339.64,4.5,25087,-19973
1058.61,61,30.44,61,96.98,5.62,25384,-19676
1048.67,62,30.44,57,67.84,7.87,25687,-19373
1039.12,62,30.44,65,238.47,3.37,25988,-19072
1019.48,62,30.44,65,31.15,9.0,26284,-18776
1018.59,61,30.44,66,47.08,6.75,26590,-18470
998.96,62,30.44,62,29.13,10.12,26890,-18170
1004.49,62,30.44,67,28.19,2.25,27187,-17873
989.02,62,30.43,61,120.03,6.75,27785,-17275
978.9,62,30.43,61,46.48,6.75,28086,-16974
972.4,62,30.43,57,104.9,4.5,28387,-16673
948.24,62,30.43,56,60.41,9.0,28686,-16374
942.14,63,30.43,56,94.0,4.5,28986,-16074
926.05,63,30.43,61,53.76,4.5,29284,-15776
918.24,62,30.42,59,53.03,9.0,29589,-15471
902.24,62,30.42,61,357.5,3.37,29884,-15176
884.62,63,30.42,61,39.69,7.87,30185,-14875
877.7,62,30.42,58,3.91,9.0,30483,-14577
866.92,62,30.42,59,357.11,7.87,30788,-14272
856.11,62,30.42,60,56.36,5.62,31088,-13972
843.89,62,30.42,57,60.02,11.25,31384,-13676
806.42,62,30.42,59,5.42,5.62,31986,-13074
793.65,62,30.42,58,116.21,7.87,32284,-12776
782.78,62,30.41,60,22.44,2.25,32589,-12471
773.13,63,30.41,63,92.76,11.25,32887,-12173
760.63,62,30.41,55,115.26,9.0,33185,-11875
739.28,62,30.41,58,1.89,11.25,33487,-11573
725.79,62,30.41,56,76.66,2.25,33790,-11270
689.85,63,30.42,60,329.36,5.62,34383,-10677
669.48,63,30.41,58,46.06,10.12,34687,-10373
628.8,63,30.42,58,1.55,6.75,35288,-9772
596.57,62,30.42,56,81.7,5.62,35586,-9474
577.1,62,30.42,57,53.61,7.87,35887,-9173
573.13,62,30.42,58,14.04,3.37,36191,-8869
564.1,62,30.42,58,49.52,6.75,36488,-8572
536.66,62,30.42,57,30.91,4.5,36783,-8277
497.13,63,30.42,50,79.57,5.62,37086,-7974
487.99,63,30.42,53,79.61,12.37,37387,-7673
409.4,62,30.42,53,98.89,7.87,37683,-7377
457.65,62,30.42,52,78.89,11.25,37990,-7070
394.97,62,30.43,52,99.17,6.75,38284,-6776
391.31,62,30.43,52,158.17,4.5,38587,-6473
419.82,62,30.43,53,101.72,7.87,38885,-6175
295.09,62,30.43,54,133.77,5.62,39184,-5876
135.35,61,30.43,54,150.09,9.0,39488,-5572
136.33,60,30.43,56,30.91,2.25,39785,-5275
128.31,60,30.43,59,7.77,2.25,40088,-4972
117.46,59,30.43,60,62.22,1.12,40385,-4675
107.07,59,30.43,58,94.85,5.62,40684,-4376
92.85,59,30.44,57,94.26,1.12,40989,-4071
80.18,58,30.44,56,123.45,7.87,41592,-3468
52.13,58,30.44,56,58.72,4.5,42188,-2872
46.79,58,30.44,56,65.06,3.37,42488,-2572
28.36,58,30.44,57,39.39,2.25,42787,-2273
16.63,58,30.44,54,76.68,2.25,43084,-1976
13.08,57,30.44,55,111.12,3.37,43389,-1671
11.66,57,30.44,57,125.58,4.5,43689,-1371
9.45,57,30.44,59,141.64,4.5,43983,-1077
11.46,57,30.44,59,152.66,4.5,44286,-774
5.78,56,30.44,59,109.7,2.25,45184,124
4.22,56,30.44,59,115.38,6.75,45485,425
2.51,56,30.44,61,142.83,3.37,45786,726
2.77,55,30.45,63,145.28,4.5,46386,1326
3.04,55,30.45,64,127.1,0.0,46684,1624
2.53,55,30.45,65,155.71,3.37,46986,1926
2.62,55,30.45,61,68.27,3.37,47587,2527
2.63,55,30.45,60,83.02,1.12,47886,2826
2.22,55,30.45,67,60.17,2.25,48185,3125
2.63,54,30.45,67,129.35,4.5,48486,3426
2.37,54,30.45,66,164.52,1.12,48785,3725
2.48,54,30.45,65,108.06,3.37,49084,4024
2.87,54,30.45,66,160.56,3.37,49385,4325
2.47,54,30.45,65,104.07,3.37,49684,4624
2.37,54,30.45,64,142.03,7.87,49992,4932
2.38,54,30.46,64,82.95,4.5,50288,5228
2.62,54,30.46,65,139.23,2.25,50593,5533
2.22,54,30.46,65,145.26,1.12,50887,5827
2.15,54,30.46,64,104.55,3.37,51186,6126
2.1,54,30.46,66,158.6,3.37,51482,6422
2.36,53,30.46,67,126.94,4.5,51786,6726
2.58,53,30.46,69,117.98,6.75,52087,7027
2.64,52,30.46,68,127.75,9.0,52388,7328
2.57,51,30.46,68,92.36,7.87,52685,7625
3.0,51,30.46,67,128.64,6.75,52988,7928
3.02,51,30.46,66,142.37,3.37,53288,8228
2.7,50,30.46,67,160.35,9.0,53584,8524
3.38,50,30.46,68,167.13,4.5,53887,8827
2.57,50,30.46,73,175.15,5.62,54186,9126
2.54,50,30.47,78,198.36,6.75,54484,9424
2.66,51,30.47,80,147.68,4.5,54786,9726
2.47,51,30.47,86,163.58,3.37,55083,10023
2.33,51,30.47,88,160.19,4.5,55387,10327
2.28,51,30.47,88,120.1,1.12,55685,10625
2.67,51,30.47,88,99.61,5.62,55992,10932
2.6,51,30.46,88,116.78,11.25,56286,11226
2.65,52,30.46,89,146.85,3.37,56587,11527
2.6,52,30.46,86,146.43,2.25,56884,11824
2.36,52,30.47,86,68.03,1.12,57188,12128
2.16,52,30.47,91,124.12,1.12,57488,12428
2.37,52,30.47,94,141.87,2.25,57789,12729
2.04,52,30.47,95,128.9,4.5,58085,13025
1.93,51,30.47,96,133.02,2.25,58385,13325
2.68,51,30.47,97,169.82,3.37,58684,13624
2.52,51,30.47,98,108.89,2.25,58986,13926
3.03,51,30.47,98,141.09,5.62,59284,14224
2.5,51,30.47,98,170.29,4.5,59583,14523
2.13,51,30.46,99,134.31,6.75,59884,14824
2.32,51,30.47,99,44.45,0.0,60188,15128
1.99,51,30.46,99,154.29,2.25,60489,15429
2.24,51,30.46,99,157.9,3.37,60786,15726
2.52,50,30.46,98,169.11,5.62,61084,16024
1.9,50,30.46,92,150.87,5.62,61384,16324
1.92,51,30.46,83,147.04,6.75,61690,16630
1.58,51,30.46,80,162.73,2.25,61985,16925
2.28,52,30.46,78,171.41,3.37,62285,17225
2.03,52,30.46,77,7.12,2.25,62584,17524
1.79,52,30.46,86,148.24,3.37,62884,17824
3.15,52,30.46,84,132.2,5.62,63188,18128
3.3,52,30.46,81,142.77,4.5,63483,18423
2.42,52,30.46,79,168.41,2.25,63783,18723
3.05,52,30.46,76,69.32,2.25,64087,19027
2.76,52,30.46,76,142.78,3.37,-22016,-67016
2.5,53,30.46,73,128.97,2.25,-21715,-66715
2.43,53,30.45,75,153.81,7.87,-20812,-65812
2.24,52,30.45,75,155.02,10.12,-20514,-65514
2.35,52,30.45,75,158.84,10.12,-19607,-64607
1.64,52,30.45,75,155.69,6.75,-19012,-64012
1.62,52,30.45,74,180.84,3.37,-18716,-63716
1.84,52,30.45,75,162.75,6.75,-18418,-63418
1.88,52,30.45,75,190.85,4.5,-18107,-63107
3.45,52,30.45,75,185.84,9.0,-17816,-62816
3.05,52,30.44,74,160.0,6.75,-17515,-62515
3.63,52,30.44,74,158.18,5.62,-17214,-62214
3.36,52,30.44,74,155.82,6.75,-16915,-61915
2.42,52,30.44,74,159.1,4.5,-16616,-61616
2.71,52,30.44,73,159.35,3.37,-16318,-61318
2.44,51,30.44,74,117.01,4.5,-16012,-61012
2.16,52,30.44,72,119.06,4.5,-15716,-60716
2.8,52,30.44,72,132.63,1.12,-15412,-60412
2.71,51,30.43,70,145.91,5.62,-15118,-60118
2.76,51,30.43,72,165.12,6.75,-14514,-59514
2.63,50,30.43,76,143.45,6.75,-14212,-59212
2.79,50,30.42,75,173.9,6.75,-13912,-58912
3.13,51,30.42,73,170.36,4.5,-13612,-58612
3.06,51,30.43,73,163.03,6.75,-13317,-58317
2.96,51,30.42,71,171.38,4.5,-13016,-58016
2.75,51,30.42,71,127.22,2.25,-12716,-57716
2.6,51,30.42,69,120.72,6.75,-12416,-57416
2.64,52,30.42,69,127.12,3.37,-12111,-57111
2.23,52,30.42,71,151.85,6.75,-11818,-56818
2.3,51,30.42,70,155.58,3.37,-11517,-56517
2.27,51,30.42,72,86.58,2.25,-11217,-56217
2.65,51,30.42,71,136.05,2.25,-10915,-55915
2.31,51,30.42,67,126.71,4.5,-10617,-55617
2.45,51,30.42,71,120.21,4.5,-10318,-55318
2.24,51,30.42,71,166.86,6.75,-10013,-55013
2.29,50,30.42,72,162.44,7.87,-9711,-54711
2.05,50,30.42,72,158.01,6.75,-9416,-54416
2.13,50,30.42,70,141.8,2.25,-9116,-54116
1.98,50,30.42,71,165.89,6.75,-8810,-53810
2.17,50,30.42,71,157.64,6.75,-8515,-53515
2.36,49,30.42,73,119.5,10.12,-8218,-53218
2.9,49,30.42,70,158.87,4.5,-7915,-52915
2.97,49,30.42,69,176.34,6.75,-7615,-52615
2.55,48,30.43,68,165.72,6.75,-7314,-52314
2.79,48,30.43,69,159.48,7.87,-7016,-52016
2.5,48,30.43,67,149.74,6.75,-6716,-51716
2.58,48,30.43,69,178.89,10.12,-6413,-51413
2.44,48,30.43,66,156.75,6.75,-6102,-51102
2.62,48,30.43,66,159.22,7.87,-5812,-50812
2.13,47,30.43,66,145.25,6.75,-5512,-50512
2.04,47,30.42,69,164.46,5.62,-5216,-50216
2.19,47,30.42,71,160.28,7.87,-4918,-49918
1.93,47,30.42,72,172.43,5.62,-4615,-49615
1.78,47,30.42,72,166.92,6.75,-4315,-49315
2.04,47,30.42,73,172.37,5.62,-4016,-49016
2.42,47,30.42,75,167.28,5.62,-3715,-48715
2.6,47,30.42,74,128.1,7.87,-3410,-48410
2.5,47,30.43,71,124.99,6.75,-3112,-48112
2.08,47,30.43,72,151.56,4.5,-2810,-47810
2.48,47,30.43,72,148.75,5.62,-2514,-47514
2.15,47,30.43,72,159.49,6.75,-2217,-47217
2.02,47,30.43,71,190.48,5.62,-1910,-46910
2.74,46,30.43,74,190.5,9.0,-1615,-46615
2.45,46,30.43,75,176.86,7.87,-1314,-46314
1.67,46,30.43,75,169.81,7.87,-1017,-46017
1.92,47,30.43,76,166.18,6.75,-716,-45716
2.79,47,30.43,76,142.04,7.87,-416,-45416
5.27,47,30.44,77,186.84,7.87,-116,-45116
7.66,47,30.43,77,177.87,7.87,184,-44816
10.84,47,30.44,77,167.78,6.75,487,-44513
11.93,47,30.44,78,157.26,6.75,785,-44215
14.63,47,30.44,78,169.52,6.75,1091,-43909
16.28,47,30.44,77,166.79,7.87,1388,-43612
17.99,48,30.44,72,162.79,7.87,1686,-43314
19.05,48,30.44,73,167.39,6.75,1983,-43017
20.16,48,30.44,71,165.46,6.75,2288,-42712
21.47,49,30.44,69,171.26,9.0,2587,-42413
133.58,50,30.44,67,184.3,4.5,2883,-42117
159.22,51,30.44,66,142.23,4.5,3185,-41815
186.75,52,30.44,66,150.95,6.75,3489,-41511
213.9,52,30.45,62,162.76,1.12,3788,-41212
241.23,54,30.45,60,162.19,3.37,4083,-40917
269.04,55,30.45,58,151.54,10.12,4386,-40614
293.73,55,30.45,58,163.78,4.5,4685,-40315
317.24,56,30.45,53,127.86,7.87,4989,-40011
338.35,57,30.45,48,124.77,2.25,5285,-39715
359.31,58,30.46,46,27.95,6.75,5587,-39413
381.17,58,30.45,47,99.45,4.5,5886,-39114
402.11,59,30.46,48,37.87,3.37,6187,-38813
423.15,59,30.46,41,68.26,5.62,6484,-38516
444.08,59,30.46,38,86.6,6.75,6783,-38217
463.3,60,30.46,34,73.94,1.12,7085,-37915
483.13,60,30.46,37,58.53,5.62,7383,-37617
503.77,61,30.46,35,115.44,2.25,7683,-37317
523.13,61,30.46,33,62.43,2.25,7983,-37017
543.59,62,30.46,29,243.49,0.0,8282,-36718
563.34,62,30.46,30,300.69,3.37,8588,-36412
581.47,63,30.46,29,36.2,4.5,8885,-36115
602.4,62,30.46,28,32.07,12.37,9188,-35812
637.19,62,30.46,29,29.84,5.62,9785,-35215
654.26,62,30.47,30,0.59,7.87,10085,-34915
671.97,62,30.47,31,45.12,6.75,10386,-34614
689.68,62,30.47,35,64.97,3.37,10689,-34311
707.95,62,30.47,38,336.95,5.62,10987,-34013
724.76,62,30.47,39,70.26,9.0,11282,-33718
742.18,62,30.47,34,65.19,4.5,11588,-33412
757.44,62,30.47,38,66.36,7.87,11883,-33117
773.93,62,30.47,38,49.55,6.75,12183,-32817
789.38,62,30.47,33,27.14,5.62,12484,-32516
803.35,62,30.47,41,354.83,4.5,12783,-32217
819.38,62,30.47,36,12.38,2.25,13084,-31916
832.55,62,30.47,38,72.72,12.37,13384,-31616
846.58,62,30.47,43,74.09,9.0,13686,-31314
857.95,62,30.47,41,89.49,4.5,13987,-31013
872.22,62,30.47,42,29.84,6.75,14283,-30717
885.18,62,30.47,40,79.63,7.87,14583,-30417
896.17,63,30.47,41,71.65,6.75,14886,-30114
910.18,64,30.47,37,183.15,1.12,15186,-29814
922.19,64,30.47,39,72.57,10.12,15486,-29514
930.87,64,30.47,41,109.42,9.0,15783,-29217
943.48,64,30.47,45,14.6,2.25,16085,-28915
953.14,64,30.47,48,43.8,13.5,16385,-28615
963.72,63,30.47,49,31.15,9.0,16685,-28315
972.88,63,30.47,50,27.98,5.62,16986,-28014
981.26,63,30.47,51,15.09,9.0,17283,-27717
990.46,63,30.47,51,358.16,4.5,17587,-27413
994.46,63,30.46,52,350.09,4.5,17885,-27115
1005.39,63,30.46,51,65.61,6.75,18185,-26815
1013.88,64,30.46,51,40.38,4.5,18485,-26515
1019.04,64,30.46,50,29.21,1.12,18785,-26215
1026.27,64,30.46,54,63.37,15.75,19089,-25911
1031.01,64,30.46,54,356.55,6.75,19386,-25614
1039.6,64,30.46,53,84.29,2.25,19685,-25315
1042.62,64,30.46,53,312.47,1.12,19982,-25018
1046.7,64,30.46,50,146.71,5.62,20288,-24712
1050.79,64,30.46,53,56.16,14.62,20582,-24418
1054.54,64,30.46,49,358.48,2.25,20884,-24116
1055.61,64,30.46,49,1.8,3.37,21182,-23818
1057.91,65,30.45,49,91.85,6.75,21484,-23516
1058.03,65,30.46,48,8.77,10.12,21785,-23215
1059.3,65,30.45,49,107.23,4.5,22082,-22918
1060.85,65,30.45,47,71.76,5.62,22386,-22614
1062.01,65,30.45,51,260.51,5.62,22685,-22315
1059.37,65,30.45,50,22.28,7.87,22984,-22016
1059.79,65,30.45,47,33.55,4.5,23283,-21717
1058.82,65,30.45,44,95.75,5.62,23587,-21413
1054.84,65,30.45,58,30.87,11.25,23883,-21117
1052.69,65,30.45,61,37.12,11.25,24183,-20817
1048.63,64,30.45,61,45.63,13.5,24486,-20514
1027.13,64,30.45,59,32.87,6.75,24782,-20218
1043.28,64,30.45,62,19.91,4.5,25085,-19915
1037.8,64,30.45,63,106.14,5.62,25389,-19611
1029.84,64,30.45,65,349.59,7.87,25686,-19314
1031.59,64,30.45,68,49.08,14.62,25988,-19012
1024.83,63,30.44,70,330.64,4.5,26284,-18716
1018.05,63,30.45,70,180.2,4.5,26584,-18416
1011.23,63,30.44,69,87.96,7.87,26885,-18115
999.87,63,30.44,70,57.47,6.75,27182,-17818
993.41,63,30.44,67,22.94,5.62,27485,-17515
988.77,63,30.44,70,17.75,16.87,27788,-17212
978.68,62,30.44,70,108.21,10.12,28087,-16913
966.7,62,30.45,71,25.43,10.12,28389,-16611
955.95,63,30.44,71,358.43,5.62,28684,-16316
943.36,63,30.44,71,350.96,4.5,28984,-16016
931.96,63,30.44,72,1.41,13.5,29284,-15716
909.25,63,30.44,66,4.84,5.62,29882,-15118
895.73,63,30.44,68,39.77,12.37,30184,-14816
879.59,63,30.44,69,54.78,11.25,30785,-14215
873.71,63,30.44,70,16.71,9.0,31082,-13918
904.94,62,30.44,73,46.03,15.75,31384,-13616
939.55,62,30.44,73,31.93,13.5,31685,-13315
331.24,62,30.44,75,75.17,6.75,31989,-13011
840.74,62,30.44,77,1.75,5.62,32289,-12711
426.45,62,30.44,75,18.02,10.12,32582,-12418
913.08,62,30.44,74,140.78,6.75,32885,-12115
262.72,62,30.44,78,31.55,10.12,33186,-11814
854.21,61,30.43,79,46.83,5.62,33482,-11518
730.96,62,30.44,74,63.73,5.62,33792,-11208
727.93,62,30.44,73,28.46,1.12,34083,-10917
749.09,62,30.43,73,64.1,7.87,34385,-10615
206.12,62,30.43,73,59.9,9.0,34690,-10310
723.78,63,30.43,76,30.57,6.75,34987,-10013
723.83,62,30.43,78,18.48,5.62,35284,-9716
630.46,62,30.43,76,36.4,11.25,35586,-9414
595.72,62,30.43,75,62.97,7.87,35883,-9117
573.62,62,30.43,75,90.55,6.75,36183,-8817
554.73,62,30.43,73,56.2,5.62,36482,-8518
611.72,62,30.43,76,50.26,3.37,36787,-8213
146.46,62,30.44,76,20.63,5.62,37084,-7916
633.9,61,30.44,77,33.18,4.5,37382,-7618
151.68,61,30.44,80,13.61,4.5,37686,-7314
219.95,61,30.43,79,4.88,2.25,37983,-7017
441.23,61,30.43,80,14.27,3.37,38288,-6712
207.71,60,30.43,83,34.93,7.87,38588,-6412
560.97,60,30.43,84,84.29,3.37,38887,-6113
97.99,59,30.44,85,335.04,6.75,39185,-5815
397.01,59,30.44,84,31.93,3.37,39483,-5517
326.75,59,30.44,85,35.59,5.62,39783,-5217
383.31,59,30.44,84,58.27,3.37,40083,-4917
366.48,59,30.44,84,41.92,4.5,40384,-4616
113.1,59,30.44,81,85.49,3.37,40684,-4316
276.47,59,30.44,82,84.19,4.5,40985,-4015
273.94,60,30.44,82,20.4,3.37,41304,-3696
329.62,60,30.44,83,16.84,4.5,41589,-3411
161.93,60,30.44,84,62.97,5.62,41884,-3116
125.13,59,30.44,83,151.28,3.37,42185,-2815
111.68,59,30.44,85,93.99,4.5,42485,-2515
81.22,58,30.44,84,151.7,3.37,42786,-2214
64.89,58,30.44,85,128.54,5.62,43086,-1914
63.67,59,30.44,84,81.58,5.62,43388,-1612
71.77,58,30.44,85,121.84,4.5,43684,-1316
39.1,59,30.45,84,93.97,1.12,43986,-1014
46.53,58,30.45,85,70.67,5.62,44284,-716
55.73,58,30.45,86,119.84,1.12,44584,-416
8.55,58,30.45,88,80.89,1.12,44886,-114
4.05,57,30.45,91,88.16,3.37,45185,185
2.98,57,30.45,93,58.35,4.5,45488,488
2.38,56,30.45,95,61.95,4.5,45790,790
2.33,56,30.45,96,68.08,4.5,46088,1088
2.25,55,30.45,97,69.42,3.37,46387,1387
2.45,55,30.45,97,64.35,3.37,46685,1685
2.34,55,30.45,98,97.68,3.37,46985,1985
1.95,55,30.45,98,126.89,4.5,47284,2284
3.44,55,30.45,99,89.7,4.5,47587,2587
3.45,55,30.45,99,122.05,3.37,47883,2883
3.17,55,30.45,99,1.85,2.25,48185,3185
3.04,55,30.45,99,61.51,9.0,48485,3485
3.07,55,30.45,99,41.29,4.5,48783,3783
2.93,55,30.45,100,82.88,2.25,49090,4090
2.75,54,30.45,100,63.32,1.12,49384,4384
2.5,54,30.45,100,37.6,5.62,49689,4689
2.31,55,30.45,100,105.88,4.5,49984,4984
2.56,54,30.46,100,75.43,3.37,50287,5287
2.59,54,30.46,100,66.1,3.37,50583,5583
2.87,54,30.46,100,94.14,4.5,50886,5886
2.89,54,30.46,100,68.9,2.25,51184,6184
2.93,54,30.46,100,72.97,5.62,51484,6484
2.81,54,30.46,100,70.4,2.25,51785,6785
2.77,54,30.46,100,6.69,2.25,52083,7083
2.59,54,30.46,100,84.31,1.12,52386,7386
2.42,53,30.46,100,142.16,6.75,52689,7689
2.41,53,30.46,101,149.48,1.12,52986,7986
2.54,53,30.46,101,142.9,1.12,53282,8282
2.45,53,30.46,101,150.4,6.75,53585,8585
1.89,53,30.46,101,153.54,7.87,53887,8887
1.9,53,30.46,101,159.11,4.5,54184,9184
1.95,54,30.46,101,145.7,6.75,54486,9486
1.67,54,30.46,101,152.6,3.37,54788,9788
2.17,54,30.47,101,129.56,4.5,55083,10083
1.85,54,30.47,101,100.16,5.62,55385,10385
1.79,54,30.46,101,116.62,5.62,55691,10691
1.99,54,30.46,101,108.21,6.75,55982,10982
2.84,54,30.46,101,150.67,6.75,56284,11284
1.79,53,30.46,101,154.92,7.87,56585,11585
1.72,53,30.46,101,164.58,9.0,56887,11887
2.08,53,30.46,101,139.16,4.5,57183,12183
1.86,53,30.46,100,153.52,3.37,57490,12490
1.93,53,30.46,100,106.72,3.37,57790,12790
1.86,53,30.46,100,180.47,3.37,58086,13086
2.02,53,30.46,99,131.09,3.37,58382,13382
2.27,53,30.46,99,78.28,5.62,58685,13685
